roma|amor
monja|jamon
marciano|morcilla
lamina|animal
esponja|japones
roldan|ladron
obra|rabo
palmera|pleamar
era|rea
mar|ram
los|sol
marte|amarte
alba|bala
casa|saca
amad|dama
arda|dara
alga|gala
alma|mala
alta|lata
aval|lava
atar|rata
como|moco
abaco|caoba
casar|sacra
andar|nadar
falta|fatal
abrir|birra
maceta|meseta
bruto|turbo
irene|reine
abusar|basura
atrase|tareas
arder|derrama
fijara|jirafa
copian|panico
guason|gusano
bocharan|abrochan
chamusca|machucas
aclarelo|realocala
arrancar|canaria
estancar|rescatan
rescatar|carteras
argentino|ignorante
sinonimos|insomnios
complicado|complacido
complicado|complicado
amar|amarra
